,country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year",suicides_no,population,Status,Life expectancy ,Adult Mortality,infant deaths,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Diphtheria , HIV/AIDS,GDP, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
18,Guatemala,2015,6.464986801,8.894631386,0.822837472,62.89811707,0.868639767,0.048312992,0.821654916,0.851370811,0.310553789,0.272380829,-0.500726223,-0.651932836,2.944439888,0.455444068,,0.52675,0.592926323,494,14258397,Developing,71.9,186.0,10.0,74.0,0.0,5.6,12.0,9.0,74.0,0.4,3923.573344,1.2,1.2,0.637,10.7
19,Hungary,2015,5.34438324,10.12800789,0.858733833,66.84565735,0.557721376,-0.209218666,0.907530308,0.706814766,0.244536385,0.279211909,0.653114259,0.4530572,1.878782034,0.351543278,,0.296818182,0.2937769,1868,9389519,Developed,75.8,134.0,0.0,,0.0,64.8,0.0,99.0,99.0,0.1,12365.6263,1.6,1.6,0.834,15.6
20,Iceland,2015,7.498070717,10.66135502,0.980283201,72.75598145,0.94048512,0.293037444,0.638661802,0.849020839,0.179504439,0.427228123,1.342286944,1.593127012,1.687232494,0.225022212,,0.280090909,0.391596675,40,308554,Developed,82.7,49.0,0.0,,0.0,61.0,0.0,92.0,92.0,0.1,5734.4436,1.0,0.9,0.919,19.0
21,Israel,2015,7.07941103,10.37425232,0.864130199,72.04497528,0.752783954,0.100288846,0.789429903,0.696547687,0.256258249,0.405343235,-0.175023496,1.19148016,1.779918075,0.251421779,,0.411,0.29365477,342,7516180,Developing,82.5,58.0,0.0,96.0,80.0,64.9,1.0,95.0,95.0,0.1,35729.37253,1.2,1.1,0.898,16.0
22,Italy,2015,5.847683907,10.44341278,0.908986509,73.43118286,0.574765742,-0.072609469,0.912753046,0.691772103,0.329209089,0.260625869,0.705309868,0.367061794,1.670852304,0.285728902,,0.341272727,0.406529307,3988,58117697,Developed,82.7,56.0,1.0,93.0,159.0,63.6,2.0,93.0,93.0,0.1,349.14755,0.6,0.6,0.881,16.3
23,Japan,2015,5.879684448,10.5405426,0.922657192,74.86040497,0.831694186,-0.172429249,0.654443085,0.768090606,0.176408634,0.352867216,1.02655673,1.522612214,1.80760932,0.307433039,,0.321,0.443165004,23092,120376310,Developed,83.7,55.0,2.0,,35.0,29.0,3.0,99.0,96.0,0.1,34474.13736,2.1,1.8,0.902,15.3
24,Kazakhstan,2015,5.949995041,10.06570339,0.931349277,63.52941132,0.740132809,-0.052528065,0.713844299,0.730147421,0.173994005,0.816247523,-0.599363983,-0.349530786,1.960502148,0.329496443,0.265,0.295066667,0.309078783,2872,15646752,Developing,72.0,198.0,4.0,98.0,526.0,53.1,5.0,98.0,98.0,0.1,159.9817,2.4,2.5,0.793,15.0
25,Kyrgyzstan,2015,4.905375957,8.082588196,0.856584549,62.45977402,0.813175857,0.222191751,0.857725024,0.766794443,0.173476428,0.58429265,-0.643292069,-0.889020503,1.843325377,0.375776589,0.29,0.306375,0.424981624,417,5195827,Developing,71.1,166.0,3.0,97.0,17779.0,44.9,3.0,97.0,97.0,0.1,,3.3,3.4,0.662,13.0
26,Latvia,2015,5.880597591,10.04474258,0.879372418,65.10926056,0.65639317,-0.085116692,0.808400393,0.608379602,0.22813718,0.298912108,0.645110488,0.860310078,1.725923061,0.293494493,,0.362,0.368298113,387,1875522,Developed,74.6,153.0,0.0,94.0,0.0,61.2,0.0,95.0,95.0,0.1,13666.58336,2.2,2.1,0.828,16.0
27,Lithuania,2015,5.711378098,10.20251083,0.92852354,65.98335266,0.641470194,-0.262814581,0.92417407,0.594609678,0.276451677,0.367034554,0.866817832,1.021977544,1.917049885,0.335654527,,0.353090909,0.34593156,896,2753926,Developed,73.6,165.0,0.0,94.0,50.0,62.4,0.0,93.0,93.0,0.1,14252.42853,2.6,2.6,0.846,16.5
28,Luxembourg,2015,6.701571465,11.45199203,0.933604598,72.2013092,0.932256401,0.037600271,0.37539047,0.757444561,0.19305034,0.694678366,1.49305284,1.838429928,1.505815864,0.224695936,,0.315363636,0.29204455,64,537748,Developed,82.0,63.0,0.0,94.0,0.0,61.3,0.0,99.0,99.0,0.1,1199.8223,1.0,0.9,0.896,13.9
29,Malta,2015,6.61339426,10.44209957,0.918764889,71.82951355,0.91217804,0.33572951,0.663886309,0.679821253,0.35504058,0.734930515,1.133332491,1.013861418,1.849595666,0.279674202,,,0.378311843,34,410637,Developed,81.7,54.0,0.0,95.0,2.0,69.6,0.0,97.0,97.0,0.1,23819.4636,0.8,0.8,0.853,14.6
30,Mexico,2015,6.236287117,9.72148037,0.760614276,67.7769928,0.719465971,-0.15708296,0.707971931,0.74482131,0.237188041,0.256193161,-0.437031597,-0.161394864,2.147255182,0.344316274,,0.48475,0.335662574,6234,114357884,Developing,76.7,122.0,30.0,82.0,0.0,63.5,35.0,87.0,87.0,0.1,9143.128494,1.5,1.5,0.758,13.3
31,Netherlands,2015,7.324437141,10.74708652,0.879010439,71.61999512,0.903978765,0.249118462,0.41182211,0.834133685,0.202128634,0.579621017,1.243579149,1.865079641,1.447880387,0.197678044,,0.286909091,0.421282858,1873,16057342,Developed,81.9,57.0,1.0,94.0,7.0,62.1,1.0,95.0,95.0,0.1,44292.88473,1.0,0.9,0.923,18.1
32,Nicaragua,2015,5.924112797,8.509345055,0.826908529,65.78673553,0.809259176,0.077852145,0.727998376,0.79668498,0.345594645,0.603455484,-0.250673711,-0.708666265,2.909445524,0.491119206,,0.48275,0.531768441,315,5476483,Developing,74.8,145.0,2.0,98.0,0.0,54.0,2.0,99.0,98.0,0.1,295.966488,1.8,1.7,0.642,11.7
33,Norway,2015,7.603433609,11.06708241,0.946833968,71.086586,0.947620511,0.230559945,0.298814356,0.842887521,0.209409878,0.586871624,1.424758792,1.931402802,1.675640464,0.220379442,,0.271727273,0.37180686,590,4882909,Developed,81.8,59.0,0.0,,14.0,61.2,0.0,95.0,95.0,0.1,7455.24654,0.8,0.7,0.948,17.7
